Date,Close,High,P_H,Low,P_L,Signal,NIKKEI_returns,strategy_returns
2018-07-18,22794.189453125,22949.3203125,23003.881821174902,22794.189453125,22841.203093213822,1,0.00426613847563484,-0.00426613847563484
2018-07-19,22764.6796875,22926.470703125,22974.025721213187,22761.869140625,22786.48700444125,1,-0.001294617897499073,-0.001294617897499073
2018-07-20,22697.880859375,22869.98046875,22830.1030268593,22541.349609375,22626.109289445474,0,-0.002934318823808346,-0.002934318823808346
2018-07-23,22396.990234375,22507.169921875,22559.822162332002,22341.869140625,22334.157773743376,0,-0.013256331146690337,-0.0
2018-07-24,22510.48046875,22555.05078125,22667.36811026741,22416.23046875,22453.40205047585,1,0.00506720917352621,0.0
2018-07-25,22614.25,22645.66015625,22699.139095983068,22547.140625,22492.271312696656,0,0.00460983191336406,0.00460983191336406
2018-07-26,22586.869140625,22717.150390625,22806.4804754751,22549.76953125,22619.993734340955,1,-0.0012107790165493126,-0.0
2018-07-27,22712.75,22712.75,22746.491157709374,22593.19921875,22557.06376282068,0,0.005573187615834252,0.005573187615834252
2018-07-30,22544.83984375,22631.3203125,22678.764001243526,22518.939453125,22497.29149914667,0,-0.007392770855576658,-0.0
2018-07-31,22553.720703125,22678.060546875,22555.55166528919,22352.2109375,22356.849398166403,0,0.00039391982540348813,0.0
2018-08-01,22746.69921875,22775.470703125,22719.918817415895,22615.98046875,22543.994253402143,-1,0.008556393783765381,0.0
2018-08-02,22512.529296875,22754.73046875,22740.14753061188,22464.810546875,22567.59673632831,0,-0.010294677026457255,0.010294677026457255
2018-08-03,22525.1796875,22613.5,22688.721947997383,22490.5703125,22496.027527169623,1,0.0005619266701746284,0.0
2018-08-06,22507.3203125,22635.6796875,22616.254471620654,22486.740234375,22438.774228580893,-1,-0.0007928627095441509,-0.0007928627095441509
2018-08-07,22662.740234375,22666.6796875,22600.77731366368,22499.05078125,22412.24565364448,-1,0.0069053054613827936,-0.0069053054613827936
2018-08-08,22644.310546875,22800.609375,22726.865596451855,22610.2890625,22566.121609625166,-1,-0.0008132153177154988,0.0008132153177154988
2018-08-09,22598.390625,22648.880859375,22666.6072914056,22497.990234375,22487.861752050103,0,-0.0020278790020982207,0.0020278790020982207
2018-08-10,22298.080078125,22608.859375,22678.074314445104,22272.689453125,22508.753484381206,1,-0.013289023623778484,-0.0
2018-08-13,21857.4296875,22124.599609375,22223.28417098988,21851.3203125,21988.283628299712,1,-0.019761808598816932,-0.019761808598816932
2018-08-14,22356.080078125,22356.080078125,22209.04840999297,22047.189453125,21943.5966476102,-1,0.022813770775168996,0.022813770775168996
2018-08-15,22204.220703125,22380.279296875,22442.095691950253,22110.2890625,22246.588631805538,1,-0.006792755012028806,0.006792755012028806
2018-08-16,22192.0390625,22240.419921875,22101.267397626092,21871.69921875,21833.849168601468,-1,-0.0005486182464078393,-0.0005486182464078393
2018-08-17,22270.380859375,22340.94921875,22405.33821423653,22244.099609375,22195.051976269453,0,0.0035301756929304595,-0.0035301756929304595
2018-08-20,22199.0,22288.310546875,22380.096028073356,22150.75,22149.93210204136,0,-0.003205192575094662,-0.0
2018-08-21,22219.73046875,22306.830078125,22222.663033206078,22053.140625,21976.32077341913,-1,0.0009338469638271452,0.0
2018-08-22,22362.55078125,22390.19921875,22366.667475619477,22162.810546875,22150.91653039182,-1,0.006427634786158265,-0.006427634786158265
2018-08-23,22410.8203125,22463.029296875,22510.4190154047,22377.880859375,22316.801622815918,0,0.0021584984522637907,-0.0021584984522637907
2018-08-24,22601.76953125,22602.240234375,22572.190085503767,22452.419921875,22395.30514358048,-1,0.008520402916420533,0.0
2018-08-27,22799.640625,22838.060546875,22759.108009259628,22682.390625,22611.781815715065,-1,0.008754672658546347,-0.008754672658546347
2018-08-28,22813.470703125,23006.76953125,23059.501473967866,22813.470703125,22886.931496850553,1,0.0006065919350428661,-0.0006065919350428661
2018-08-29,22848.220703125,22968.1796875,22928.82275820428,22819.970703125,22723.197520655132,-1,0.0015232228560138061,0.0015232228560138061
2018-08-30,22869.5,23032.169921875,23112.24124308383,22832.830078125,22938.490597072574,1,0.0009313327786653058,-0.0009313327786653058
2018-08-31,22865.150390625,22890.609375,22828.682578704742,22678.029296875,22613.163265765714,-1,-0.0001901925872886956,-0.0001901925872886956
2018-09-03,22707.380859375,22820.48046875,22887.556646342164,22684.4296875,22697.864381919775,1,-0.006899999718116279,0.006899999718116279
